index,Country,Subject,Gender,Year,Value
279,SVK,MATH,BOY,2018,488.0
280,SVK,MATH,GIRL,2003,489.0
281,SVK,MATH,GIRL,2006,485.0
282,SVK,MATH,GIRL,2009,495.0
283,SVK,MATH,GIRL,2012,476.712
284,SVK,MATH,GIRL,2015,472.0
285,SVK,MATH,GIRL,2018,484.0
286,ESP,MATH,BOY,2003,490.0
287,ESP,MATH,BOY,2006,484.0
288,ESP,MATH,BOY,2009,493.0
289,ESP,MATH,BOY,2012,492.422
290,ESP,MATH,BOY,2015,494.0
291,ESP,MATH,BOY,2018,485.0
292,ESP,MATH,GIRL,2003,481.0
293,ESP,MATH,GIRL,2006,476.0
294,ESP,MATH,GIRL,2009,474.0
295,ESP,MATH,GIRL,2012,475.965
296,ESP,MATH,GIRL,2015,478.0
297,ESP,MATH,GIRL,2018,478.0
298,SWE,MATH,BOY,2003,512.0
299,SWE,MATH,BOY,2006,505.0
300,SWE,MATH,BOY,2009,493.0
301,SWE,MATH,BOY,2012,476.916
302,SWE,MATH,BOY,2015,493.0
303,SWE,MATH,BOY,2018,502.0
304,SWE,MATH,GIRL,2003,506.0
305,SWE,MATH,GIRL,2006,500.0
306,SWE,MATH,GIRL,2009,495.0
307,SWE,MATH,GIRL,2012,479.629
308,SWE,MATH,GIRL,2015,495.0
309,SWE,MATH,GIRL,2018,503.0
310,CHE,MATH,BOY,2003,535.0
311,CHE,MATH,BOY,2006,536.0
312,CHE,MATH,BOY,2009,544.0
313,CHE,MATH,BOY,2012,537.369
314,CHE,MATH,BOY,2015,527.0
315,CHE,MATH,BOY,2018,519.0
316,CHE,MATH,GIRL,2003,518.0
317,CHE,MATH,GIRL,2006,523.0
318,CHE,MATH,GIRL,2009,524.0
319,CHE,MATH,GIRL,2012,524.473
320,CHE,MATH,GIRL,2015,515.0
321,CHE,MATH,GIRL,2018,512.0
322,TUR,MATH,BOY,2003,430.0
323,TUR,MATH,BOY,2006,427.0
324,TUR,MATH,BOY,2009,451.0
325,TUR,MATH,BOY,2012,451.934
326,TUR,MATH,BOY,2015,423.0
327,TUR,MATH,BOY,2018,456.0
328,TUR,MATH,GIRL,2003,415.0
329,TUR,MATH,GIRL,2006,421.0
330,TUR,MATH,GIRL,2009,440.0
331,TUR,MATH,GIRL,2012,443.948
332,TUR,MATH,GIRL,2015,418.0
333,TUR,MATH,GIRL,2018,451.0
334,GBR,MATH,BOY,2006,504.0
335,GBR,MATH,BOY,2009,503.0
336,GBR,MATH,BOY,2012,500.295
337,GBR,MATH,BOY,2015,498.0
338,GBR,MATH,BOY,2018,508.0
339,GBR,MATH,GIRL,2006,487.0
340,GBR,MATH,GIRL,2009,482.0
341,GBR,MATH,GIRL,2012,487.815
342,GBR,MATH,GIRL,2015,487.0
343,GBR,MATH,GIRL,2018,496.0
344,USA,MATH,BOY,2003,486.0
345,USA,MATH,BOY,2006,479.0
346,USA,MATH,BOY,2009,497.0
347,USA,MATH,BOY,2012,483.647
348,USA,MATH,BOY,2015,474.0
349,USA,MATH,BOY,2018,482.0
350,USA,MATH,GIRL,2003,480.0
351,USA,MATH,GIRL,2006,470.0
352,USA,MATH,GIRL,2009,477.0
353,USA,MATH,GIRL,2012,478.995
354,USA,MATH,GIRL,2015,465.0
355,USA,MATH,GIRL,2018,474.0
356,BRA,MATH,BOY,2003,365.0
357,BRA,MATH,BOY,2006,380.0
358,BRA,MATH,BOY,2009,394.0
359,BRA,MATH,BOY,2012,400.769
360,BRA,MATH,BOY,2015,385.0
361,BRA,MATH,BOY,2018,388.0
362,BRA,MATH,GIRL,2003,348.0
363,BRA,MATH,GIRL,2006,361.0
364,BRA,MATH,GIRL,2009,379.0
365,BRA,MATH,GIRL,2012,382.925
366,BRA,MATH,GIRL,2015,370.0
367,BRA,MATH,GIRL,2018,379.0
368,CHL,MATH,BOY,2006,424.0
369,CHL,MATH,BOY,2009,431.0
370,CHL,MATH,BOY,2012,435.525
371,CHL,MATH,BOY,2015,432.0
372,CHL,MATH,BOY,2018,421.0
373,CHL,MATH,GIRL,2006,396.0
374,CHL,MATH,GIRL,2009,410.0
375,CHL,MATH,GIRL,2012,410.543
376,CHL,MATH,GIRL,2015,413.0
377,CHL,MATH,GIRL,2018,414.0
378,EST,MATH,BOY,2006,515.0
379,EST,MATH,BOY,2009,516.0
380,EST,MATH,BOY,2012,523.214
381,EST,MATH,BOY,2015,522.0
382,EST,MATH,BOY,2018,528.0
383,EST,MATH,GIRL,2006,514.0
384,EST,MATH,GIRL,2009,508.0
385,EST,MATH,GIRL,2012,517.93
386,EST,MATH,GIRL,2015,517.0
387,EST,MATH,GIRL,2018,519.0
388,IDN,MATH,BOY,2003,362.0
389,IDN,MATH,BOY,2006,399.0
390,IDN,MATH,BOY,2009,371.0
391,IDN,MATH,BOY,2012,377.376
392,IDN,MATH,BOY,2015,385.0
393,IDN,MATH,BOY,2018,374.0
394,IDN,MATH,GIRL,2003,358.0
395,IDN,MATH,GIRL,2006,382.0
396,IDN,MATH,GIRL,2009,372.0
397,IDN,MATH,GIRL,2012,372.785
398,IDN,MATH,GIRL,2015,387.0
399,IDN,MATH,GIRL,2018,383.0
400,ISR,MATH,BOY,2006,448.0
401,ISR,MATH,BOY,2009,451.0
402,ISR,MATH,BOY,2012,472.398
403,ISR,MATH,BOY,2015,474.0
404,ISR,MATH,BOY,2018,458.0
405,ISR,MATH,GIRL,2006,436.0
406,ISR,MATH,GIRL,2009,443.0
407,ISR,MATH,GIRL,2012,460.749
408,ISR,MATH,GIRL,2015,466.0
409,ISR,MATH,GIRL,2018,467.0
410,RUS,MATH,BOY,2003,473.0
411,RUS,MATH,BOY,2009,469.0
412,RUS,MATH,BOY,2012,481.394
413,RUS,MATH,BOY,2015,497.0
414,RUS,MATH,BOY,2018,490.0
415,RUS,MATH,GIRL,2003,463.0
416,RUS,MATH,GIRL,2009,467.0
417,RUS,MATH,GIRL,2012,482.944
418,RUS,MATH,GIRL,2015,491.0
419,RUS,MATH,GIRL,2018,485.0
420,SVN,MATH,BOY,2006,507.0
421,SVN,MATH,BOY,2009,502.0
422,SVN,MATH,BOY,2012,502.748
423,SVN,MATH,BOY,2015,512.0
424,SVN,MATH,BOY,2018,509.0
425,SVN,MATH,GIRL,2006,502.0
426,SVN,MATH,GIRL,2009,501.0
427,SVN,MATH,GIRL,2012,499.387
428,SVN,MATH,GIRL,2015,508.0
429,SVN,MATH,GIRL,2018,509.0
430,OAVG,MATH,BOY,2003,505.333
431,OAVG,MATH,BOY,2006,499.706
432,OAVG,MATH,BOY,2009,501.382
433,OAVG,MATH,BOY,2012,499.421
434,OAVG,MATH,BOY,2015,494.0
435,OAVG,MATH,BOY,2018,492.0
436,OAVG,MATH,GIRL,2003,494.833
437,OAVG,MATH,GIRL,2006,488.588
438,OAVG,MATH,GIRL,2009,489.794
439,OAVG,MATH,GIRL,2012,488.551
440,OAVG,MATH,GIRL,2015,486.0
441,OAVG,MATH,GIRL,2018,487.0
442,LVA,MATH,BOY,2015,481.0
